2026-03-03 08:42:56,944 | INFO | Loading ML model...
2026-03-03 08:43:00,952 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:43:02,374 | INFO | MongoDB setup completed
2026-03-03 08:43:07,735 | INFO | Loading ML model...
2026-03-03 08:43:10,903 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:43:12,306 | INFO | MongoDB setup completed
2026-03-03 08:43:39,356 | INFO | Loading ML model...
2026-03-03 08:43:42,693 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:43:43,975 | INFO | MongoDB setup completed
2026-03-03 08:43:45,699 | INFO | Loading ML model...
2026-03-03 08:43:49,121 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:43:50,468 | INFO | MongoDB setup completed
2026-03-03 08:43:52,206 | INFO | Loading ML model...
2026-03-03 08:43:55,684 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:43:57,003 | INFO | MongoDB setup completed
2026-03-03 08:43:58,594 | INFO | Loading ML model...
2026-03-03 08:44:01,790 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:44:03,135 | INFO | MongoDB setup completed
2026-03-03 08:44:08,937 | INFO | Loading ML model...
2026-03-03 08:44:12,514 | INFO | Model and vectorizer loaded successfully
2026-03-03 08:44:13,838 | INFO | MongoDB setup completed
